gov_stats_code,gov_stats_name,organization,department,stats_type,cycle,data_list_status,has_file,has_db,org_info,org_info_link
00450387,歯科補綴関連技術等に関する歯科診療報酬の適正な評価のための調査検討,厚生労働省,保険局医療課,一般統計,１回限り,-,-,-,-,
00450388,後期高齢者医療制度被保険者実態調査,厚生労働省,保険局調査課,業務統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450388
00450389,医療給付実態調査,厚生労働省,保険局調査課,業務統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450389
00450390,後期高齢者医療事業状況報告,厚生労働省,保険局調査課,業務統計,月、年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450390
00450391,健康保険・船員保険被保険者実態調査,厚生労働省,保険局調査課,一般統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450391
00450392,医療経済実態調査（保険者調査）,厚生労働省,保険局調査課,業務統計,２年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450392
00450393,健康保険診療状況実態調査,厚生労働省,保険局調査課,その他,年,-,-,-,-,
00450394,国民健康保険医療給付実態調査,厚生労働省,保険局調査課,その他,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450394
00450395,国民健康保険診療施設年報,厚生労働省,保険局調査課,その他,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450395
00450396,国民健康保険事業月報等,厚生労働省,保険局調査課,業務統計,月、年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450396
00450397,国民健康保険実態調査,厚生労働省,保険局調査課,業務統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450397
00450398,国民健康保険診療状況実態調査,厚生労働省,保険局調査課,その他,年,-,-,-,-,
00450399,「医療費の動向」調査,厚生労働省,保険局調査課,一般統計,月、年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450399
00450400,在宅歯科医療に関する調査,厚生労働省,保険局医療課,一般統計,１回限り,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450400
00450401,20歳前障害基礎年金受給権者実態調査,厚生労働省,年金局年金課,業務統計,年,-,-,-,-,
00450402,「医科医療費の動向」調査,厚生労働省,保険局調査課,業務統計,月、年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450402
00450403,「歯科医療費の動向」調査,厚生労働省,保険局調査課,業務統計,月、年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450403
00450411,年金制度基礎調査,厚生労働省,年金局数理課,一般統計,不定期,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450411
00450421,社会保障制度企画調査,厚生労働省,政策統括官付政策立案・評価担当参,その他,,登録あり,〇,-,作成機関情報,
00450422,所得再分配調査,厚生労働省,,一般統計,３年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450422
00450431,社会保障・人口問題基本調査（出生動向基本調査）,厚生労働省,国立社会保障・人口問題研究所,一般統計,５年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450431
00450432,社会保障・人口問題基本調査（人口移動調査）,厚生労働省,国立社会保障・人口問題研究所,一般統計,５年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450432
00450433,社会保障・人口問題基本調査（生活と支え合いに関する調査）,厚生労働省,国立社会保障・人口問題研究所,一般統計,５年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450433
00450434,社会保障・人口問題基本調査（全国家庭動向調査）,厚生労働省,国立社会保障・人口問題研究所,一般統計,５年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450434
00450435,社会保障・人口問題基本調査（世帯動態調査）,厚生労働省,国立社会保障・人口問題研究所,一般統計,５年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450435
00450437,社会保障費用統計,厚生労働省,国立社会保障・人口問題研究所,基幹統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450437
00450451,能力開発基本調査,厚生労働省,人材開発統括官付政策企画室,一般統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450451
00450461,公的年金加入状況等調査,厚生労働省,年金局事業企画課調査室,一般統計,３年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450461
00450462,国民年金被保険者実態調査,厚生労働省,年金局事業企画課調査室,,３年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00450462
00450463,厚生年金保険・国民年金事業統計,厚生労働省,年金局事業企画課調査室,業務統計,月、年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450463
00450464,業態別・規模別適用状況調,厚生労働省,年金局事業企画課調査室,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450464
00450465,公務員及び私学教職員に関する厚生年金保険適用給付状況調査,厚生労働省,年金局事業企画課調査室,一般統計,月、年,-,-,-,-,
00450471,保健師活動領域調査,厚生労働省,健康・生活衛生局健康課保健指導室,一般統計,,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450471
00450481,医科歯科連携の在り方に関する調査,厚生労働省,保険局医療課,一般統計,１回限り,-,-,-,-,
00450482,「調剤医療費の動向」調査,厚生労働省,保険局調査課,業務統計,月、年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450482
00450483,健康保険・船員保険事業状況報告,厚生労働省,保険局調査課,業務統計,月、年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450483
00450484,入院基本料等実施状況報告,厚生労働省,保険局医療課,業務統計,年,-,-,-,-,
00450485,令和８年度医療機関等の経営状況に係る臨時調査,厚生労働省,保険局医療課,一般統計,１回限り,-,-,-,-,
